0.000906415 {:process 2, :type :invoke, :f :read, :value nil}
0.177405 {:process 2, :type :ok, :f :read, :value 00}
0.177839 {:process 2, :type :invoke, :f :write, :value 09}
0.338815 {:process 2, :type :ok, :f :write, :value 09}
0.356633 {:process 2, :type :invoke, :f :read, :value nil}
0.532662 {:process 2, :type :ok, :f :read, :value 62}
0.56966 {:process 2, :type :invoke, :f :read, :value nil}
0.729602 {:process 2, :type :ok, :f :read, :value 12}
0.776175 {:process 2, :type :invoke, :f :write, :value 59}
0.95252 {:process 2, :type :ok, :f :write, :value 59}
0.987331 {:process 2, :type :invoke, :f :write, :value 97}
1.16856 {:process 2, :type :ok, :f :write, :value 97}
1.16899 {:process 2, :type :invoke, :f :write, :value 31}
1.33812 {:process 2, :type :ok, :f :write, :value 31}
1.33954 {:process 2, :type :invoke, :f :read, :value nil}
1.50636 {:process 2, :type :ok, :f :read, :value 31}
1.52136 {:process 2, :type :invoke, :f :write, :value 32}
1.69515 {:process 2, :type :ok, :f :write, :value 32}
1.73506 {:process 2, :type :invoke, :f :write, :value 47}
1.88754 {:process 2, :type :ok, :f :write, :value 47}
1.95048 {:process 2, :type :invoke, :f :read, :value nil}
2.10766 {:process 2, :type :ok, :f :read, :value 10}
2.16351 {:process 2, :type :invoke, :f :write, :value 44}
2.34388 {:process 2, :type :ok, :f :write, :value 44}
2.37803 {:process 2, :type :invoke, :f :write, :value 86}
2.54147 {:process 2, :type :ok, :f :write, :value 86}
2.54309 {:process 2, :type :invoke, :f :read, :value nil}
2.71936 {:process 2, :type :ok, :f :read, :value 86}
2.71977 {:process 2, :type :invoke, :f :write, :value 89}
2.89507 {:process 2, :type :ok, :f :write, :value 89}
2.89549 {:process 2, :type :invoke, :f :write, :value 50}
3.07174 {:process 2, :type :ok, :f :write, :value 50}
3.0733 {:process 2, :type :invoke, :f :write, :value 27}
3.2671 {:process 2, :type :ok, :f :write, :value 27}
3.2859 {:process 2, :type :invoke, :f :write, :value 10}
3.46759 {:process 2, :type :ok, :f :write, :value 10}
3.50249 {:process 2, :type :invoke, :f :read, :value nil}
3.66505 {:process 2, :type :ok, :f :read, :value 71}
3.66549 {:process 2, :type :invoke, :f :write, :value 97}
3.83733 {:process 2, :type :ok, :f :write, :value 97}
0.000380319 {:process 2, :type :invoke, :f :write, :value 29}
0.176015 {:process 2, :type :ok, :f :write, :value 29}
0.176581 {:process 2, :type :invoke, :f :write, :value 36}
0.340542 {:process 2, :type :ok, :f :write, :value 36}
0.344752 {:process 2, :type :invoke, :f :write, :value 87}
0.51458 {:process 2, :type :ok, :f :write, :value 87}
0.51477 {:process 2, :type :invoke, :f :write, :value 92}
0.714977 {:process 2, :type :ok, :f :write, :value 92}
0.71666 {:process 2, :type :invoke, :f :write, :value 29}
0.885783 {:process 2, :type :ok, :f :write, :value 29}
0.912562 {:process 2, :type :invoke, :f :write, :value 50}
1.08288 {:process 2, :type :ok, :f :write, :value 50}
1.14381 {:process 2, :type :invoke, :f :write, :value 32}
1.31467 {:process 2, :type :ok, :f :write, :value 32}
1.34482 {:process 2, :type :invoke, :f :write, :value 47}
1.50515 {:process 2, :type :ok, :f :write, :value 47}
1.50531 {:process 2, :type :invoke, :f :write, :value 52}
1.71323 {:process 2, :type :ok, :f :write, :value 52}
1.71372 {:process 2, :type :invoke, :f :read, :value nil}
1.87846 {:process 2, :type :ok, :f :read, :value 52}
1.91085 {:process 2, :type :invoke, :f :write, :value 14}
2.08447 {:process 2, :type :ok, :f :write, :value 14}
2.12382 {:process 2, :type :invoke, :f :write, :value 66}
2.29302 {:process 2, :type :ok, :f :write, :value 66}
2.35447 {:process 2, :type :invoke, :f :write, :value 87}
2.51971 {:process 2, :type :ok, :f :write, :value 87}
2.54802 {:process 2, :type :invoke, :f :write, :value 10}
2.70535 {:process 2, :type :ok, :f :write, :value 10}
2.70695 {:process 2, :type :invoke, :f :read, :value nil}
2.88947 {:process 2, :type :ok, :f :read, :value 10}
2.90322 {:process 2, :type :invoke, :f :write, :value 97}
3.11874 {:process 2, :type :ok, :f :write, :value 97}
3.12022 {:process 2, :type :invoke, :f :write, :value 39}
3.30046 {:process 2, :type :ok, :f :write, :value 39}
3.32604 {:process 2, :type :invoke, :f :write, :value 08}
3.49051 {:process 2, :type :ok, :f :write, :value 08}
3.54049 {:process 2, :type :invoke, :f :write, :value 56}
3.6991 {:process 2, :type :ok, :f :write, :value 56}
3.75482 {:process 2, :type :invoke, :f :write, :value 10}
3.9157 {:process 2, :type :ok, :f :write, :value 10}
0.000385494 {:process 2, :type :invoke, :f :read, :value nil}
0.164722 {:process 2, :type :ok, :f :read, :value 10}
0.164878 {:process 2, :type :invoke, :f :read, :value nil}
0.334495 {:process 2, :type :ok, :f :read, :value 10}
0.33598 {:process 2, :type :invoke, :f :write, :value 12}
0.499452 {:process 2, :type :ok, :f :write, :value 12}
0.499631 {:process 2, :type :invoke, :f :write, :value 36}
0.662672 {:process 2, :type :ok, :f :write, :value 36}
0.664077 {:process 2, :type :invoke, :f :read, :value nil}
0.848035 {:process 2, :type :ok, :f :read, :value 36}
0.848449 {:process 2, :type :invoke, :f :read, :value nil}
1.02783 {:process 2, :type :ok, :f :read, :value 36}
1.02824 {:process 2, :type :invoke, :f :read, :value nil}
1.20722 {:process 2, :type :ok, :f :read, :value 36}
1.20765 {:process 2, :type :invoke, :f :read, :value nil}
1.38535 {:process 2, :type :ok, :f :read, :value 36}
1.38574 {:process 2, :type :invoke, :f :write, :value 73}
1.56362 {:process 2, :type :ok, :f :write, :value 73}
1.5638 {:process 2, :type :invoke, :f :read, :value nil}
1.724 {:process 2, :type :ok, :f :read, :value 73}
1.72692 {:process 2, :type :invoke, :f :read, :value nil}
1.89543 {:process 2, :type :ok, :f :read, :value 73}
1.89587 {:process 2, :type :invoke, :f :read, :value nil}
2.05803 {:process 2, :type :ok, :f :read, :value 73}
2.06137 {:process 2, :type :invoke, :f :read, :value nil}
2.23053 {:process 2, :type :ok, :f :read, :value 73}
2.23206 {:process 2, :type :invoke, :f :read, :value nil}
2.3936 {:process 2, :type :ok, :f :read, :value 73}
2.40048 {:process 2, :type :invoke, :f :read, :value nil}
2.5621 {:process 2, :type :ok, :f :read, :value 73}
2.5636 {:process 2, :type :invoke, :f :read, :value nil}
2.72424 {:process 2, :type :ok, :f :read, :value 73}
2.72581 {:process 2, :type :invoke, :f :read, :value nil}
2.88826 {:process 2, :type :ok, :f :read, :value 73}
2.88867 {:process 2, :type :invoke, :f :write, :value 37}
3.05019 {:process 2, :type :ok, :f :write, :value 37}
3.05265 {:process 2, :type :invoke, :f :read, :value nil}
3.22333 {:process 2, :type :ok, :f :read, :value 37}
3.22374 {:process 2, :type :invoke, :f :read, :value nil}
3.38939 {:process 2, :type :ok, :f :read, :value 37}
